code_muni;RR_anual;li;ls;p;motivo;p_aj;classe_tendencia
3160454;;;;;casos insuficientes;;Não estimável
3161106;9,66215170975849e-01;7,74474987466949e-01;1,20542531615810e+00;7,60727358568708e-01;;8,74067409897366e-01;Estável
3162252;1,30237046080642e+00;9,26488781176423e-01;1,83074943986629e+00;1,28381678031002e-01;;2,47217890753187e-01;Estável
3162401;1,97240736223456e+00;1,36700866829583e+00;2,84591524020621e+00;2,82081306815120e-04;;1,88054204543413e-03;Crescente
3162450;;;;;casos insuficientes;;Não estimável
3162658;;;;;casos insuficientes;;Não estimável
3162708;;;;;casos insuficientes;;Não estimável
3164209;;;;;casos insuficientes;;Não estimável
3166956;;;;;casos insuficientes;;Não estimável
3168002;1,13107532445552e+00;8,97474219804207e-01;1,42547982032425e+00;2,96709882480918e-01;;4,62405011658573e-01;Estável
3170008;5,78873762860435e-01;4,80335018705751e-01;6,97627323177692e-01;9,35812074484959e-09;;2,80743622345488e-07;Decrescente
3170651;;;;;casos insuficientes;;Não estimável
3170800;;;;;casos insuficientes;;Não estimável
3170909;2,13878455940980e+00;1,26705917230188e+00;3,61024922242536e+00;4,42599177494863e-03;;1,77039670997945e-02;Crescente
3171030;;;;;casos insuficientes;;Não estimável
