code_muni;RR_anual;li;ls;p;motivo;p_aj;classe_tendencia
2918357;7,26904473034483e-01;5,33583914790583e-01;9,90266194821330e-01;4,31793094230067e-02;;1,11524976888937e-01;Estável
2918407;8,36465742965567e-01;6,69281863893588e-01;1,04541147295481e+00;1,16507816046821e-01;;2,36965049586754e-01;Estável
2918456;1,25089633087721e+00;8,89529000531591e-01;1,75906758483082e+00;1,98104859204836e-01;;3,44530189921453e-01;Estável
2918506;;;;;casos insuficientes;;Não estimável
2918555;;;;;casos insuficientes;;Não estimável
2918605;;;;;casos insuficientes;;Não estimável
2918704;;;;;casos insuficientes;;Não estimável
2918753;;;;;casos insuficientes;;Não estimável
2918803;1,45574579660785e+00;1,14148849282731e+00;1,85651965627133e+00;2,47395057042534e-03;;1,09953358685571e-02;Crescente
2918902;;;;;casos insuficientes;;Não estimável
2919009;;;;;casos insuficientes;;Não estimável
2919058;;;;;casos insuficientes;;Não estimável
2919108;;;;;casos insuficientes;;Não estimável
2919157;;;;;casos insuficientes;;Não estimável
2919207;;;;;casos insuficientes;;Não estimável
2919306;;;;;casos insuficientes;;Não estimável
2919405;;;;;casos insuficientes;;Não estimável
2919504;;;;;casos insuficientes;;Não estimável
2919553;3,85323108837361e-01;1,39397951524270e-01;1,06510817828079e+00;6,60074391346266e-02;;1,51768513356091e-01;Estável
2919603;;;;;casos insuficientes;;Não estimável
2919702;;;;;casos insuficientes;;Não estimável
2919801;;;;;casos insuficientes;;Não estimável
2919900;;;;;casos insuficientes;;Não estimável
2919926;9,45289813926695e-01;6,23631120044737e-01;1,43285478160465e+00;7,90911781409117e-01;;8,95371828010321e-01;Estável
2919959;;;;;casos insuficientes;;Não estimável
2920007;;;;;casos insuficientes;;Não estimável
2920106;;;;;casos insuficientes;;Não estimável
2920205;;;;;casos insuficientes;;Não estimável
2920304;;;;;casos insuficientes;;Não estimável
2920403;;;;;casos insuficientes;;Não estimável
2920452;;;;;casos insuficientes;;Não estimável
2920502;;;;;casos insuficientes;;Não estimável
2920601;9,95349394197083e-01;7,31268459159830e-01;1,35479713929787e+00;9,76359652443561e-01;;9,84564355405271e-01;Estável
2920700;;;;;casos insuficientes;;Não estimável
2920809;;;;;casos insuficientes;;Não estimável
2920908;;;;;casos insuficientes;;Não estimável
2921005;3,96846188840003e+00;2,23130053859367e+00;7,05807643895854e+00;2,70668720486912e-06;;4,06003080730368e-05;Crescente
2921054;;;;;casos insuficientes;;Não estimável
2921104;;;;;casos insuficientes;;Não estimável
2921203;2,48544217365890e+00;1,34402017468202e+00;4,59622773152479e+00;3,70128084162660e-03;;1,53156448619032e-02;Crescente
2921302;;;;;casos insuficientes;;Não estimável
2921401;2,67852442644427e+00;1,60553109857694e+00;4,46861048622336e+00;1,61269275315523e-04;;1,13837135516840e-03;Crescente
2921450;1,06106087142349e+00;7,54501813225529e-01;1,49217689491417e+00;7,33333506891333e-01;;8,62745302225098e-01;Estável
2921500;;;;;casos insuficientes;;Não estimável
2921609;;;;;casos insuficientes;;Não estimável
2921708;;;;;casos insuficientes;;Não estimável
2921807;8,46297426594790e-01;6,06884873145859e-01;1,18015684020654e+00;3,25298613981199e-01;;4,94124476933466e-01;Estável
2921906;;;;;casos insuficientes;;Não estimável
