code_muni;n_anos_AA;n_anos_BB;n_anos_sig;classe_persistencia;name_muni;abbrev_state;regiao;inc_sinan_ebl;idhm;ivs;pct_agua_rede;pct_esgoto_adeq;pct_agua_superficial;pct_esgoto_em_corpo_dagua;pct_lixo_coletado
2926301;0;0;0;Sem cluster relevante;Riachão do Jacuípe;BA;Bahia;1,24771061575478015;0,628;;86,1142217245241;59,550471924492079;0,46392577187649980;1,08782594784834430;83,0507118860982
2926400;0;0;0;Sem cluster relevante;Riacho de Santana;BA;Bahia;0,50086952040871890;0,615;;63,7263637263637;0,752400752400752;0,68310068310068306;0,00000000000000000;49,8762498762499
2926509;0;0;0;Sem cluster relevante;Ribeira do Amparo;BA;Bahia;1,41604715268563708;0,512;;82,1866555809603;3,824568696736645;0,47807108709208063;0,24942839326543340;45,3959675743089
2926608;0;0;0;Sem cluster relevante;Ribeira do Pombal;BA;Bahia;1,66369454327291688;0,601;;90,6024970211884;23,524840698337044;0,01036108376936228;0,22794384292597006;77,2418795005958
2926657;0;0;0;Sem cluster relevante;Ribeirão do Largo;BA;Bahia;0,14445762131157636;0,540;;54,0810157194680;23,972188633615477;13,96614268440145068;1,84401451027811358;47,4002418379686
2926707;0;0;0;Sem cluster relevante;Rio de Contas;BA;Bahia;0,03308529681333502;0,605;;80,3336259877085;29,170324846356454;4,52151009657594383;0,98770851624231781;67,0324846356453
2926806;0;0;0;Sem cluster relevante;Rio do Antônio;BA;Bahia;0,03873817264986414;0,576;;66,9417897480452;24,218071242397915;8,01476976542137365;0,02172024326672459;49,6090356211990
2926905;0;0;0;Sem cluster relevante;Rio do Pires;BA;Bahia;0,34061543642142222;0,594;;65,3725378247217;5,224093634027976;25,00713673993719510;0,08564087924636027;62,5178418498430
2927002;0;0;0;Sem cluster relevante;Rio Real;BA;Bahia;1,88523065916773058;0,572;;78,6612864941847;3,093599177150091;0,25318458738824273;1,22636284516180072;83,6933301685260
2927101;0;0;0;Sem cluster relevante;Rodelas;BA;Bahia;0,42289149997662068;0,632;;96,2800875273523;71,053454204438879;1,53172866520787743;0,34385745545482965;95,0296967802438
2927200;0;0;0;Sem cluster relevante;Ruy Barbosa;BA;Bahia;0,45572798593244213;0,610;;80,7817589576547;63,508044615536477;0,47379330766952915;0,49353469548909285;84,1575362748001
2927309;0;0;0;Sem cluster relevante;Salinas da Margarida;BA;Bahia;0,41192107784777210;0,617;;98,1801125703565;23,095684803001877;0,09380863039399624;0,58161350844277682;98,7992495309568
2927408;0;0;0;Sem cluster relevante;Salvador;BA;Bahia;0,33001364053589544;0,759;;99,1253683853637;94,972224395587205;0,00845004303262656;1,36786375609628874;98,1418251049735
2927507;0;0;0;Sem cluster relevante;Santa Bárbara;BA;Bahia;1,66578994355860344;0,583;;71,8307924735613;9,380579590715561;0,30215629721192144;0,06867188572998215;68,6032138442522
2927606;0;0;0;Sem cluster relevante;Santa Brígida;BA;Bahia;0,45411278709689551;0,546;;49,4662600076249;31,910026686999622;0,66717499046892870;0,11437285550895920;49,0278307281738
2927705;0;0;0;Sem cluster relevante;Santa Cruz Cabrália;BA;Bahia;1,08428920718890875;0,654;;68,4684684684685;36,754839946329312;1,34176729921410787;0,09584052137243627;82,8157945179222
2927804;0;0;0;Sem cluster relevante;Santa Cruz da Vitória;BA;Bahia;0,93721993438199813;0,610;;90,4846335697399;75,118203309692660;2,18676122931442096;6,85579196217494147;86,5248226950355
2927903;0;0;0;Sem cluster relevante;Santa Inês;BA;Bahia;0,42448959659256191;0,574;;89,8639266870314;77,478478200499850;0,49986114968064421;0,38878089419605666;95,9455706748126
2928000;0;0;0;Sem cluster relevante;Santaluz;BA;Bahia;0,91487452141481018;0,598;;73,6576308949127;53,776457482361685;2,57705161529892335;0,17823988117341255;80,6164129223914
2928059;0;0;0;Sem cluster relevante;Santa Luzia;BA;Bahia;8,94938789439197713;0,556;;62,2812565886570;51,612903225806448;9,76175416403120444;2,61437908496732030;63,9257853679106
2928109;1;0;1;Cluster de alto risco esporádico (1-2 anos);Santa Maria da Vitória;BA;Bahia;0,33941681950899028;0,614;;83,6930274675521;19,853607002716572;3,49381225475399937;0,03773015393902807;70,0875339571385
2928208;0;0;0;Sem cluster relevante;Santana;BA;Bahia;0,10103325653115031;0,608;;74,7528879361677;5,263784685006550;1,61962605692509221;0,27390734786233178;57,4133619149696
