code_muni;name_muni;uf;regiao;casos_sinan;pessoa_ano;inc_sinan_bruta;inc_sinan_ebg;inc_sinan_ebl;examinados;positivos;posit_bruta;posit_ebl;rme_sinan;rme_pce
2915403;Itaju do Colônia;BA;Bahia;3;50971,7047656911;5,8856183323483675;5,78609582743571860;4,47829146130561107;0;0;;;2,0817155334240454;
2911253;Gavião;BA;Bahia;3;35575,0004518753;8,4328881571155705;8,17515535590473874;4,44726201529964005;0;0;;;2,9826728946745593;
3138658;Lontra;MG;Norte de Minas;3;73748,5539363119;4,0678763716380830;4,03969084058378147;4,42851004743666721;0;0;;;1,4387887478780563;
2902807;Barra da Estiva;BA;Bahia;12;190144,7066941733;6,3109829395885688;6,27985206690382203;4,39599056596066173;0;0;;;2,2321649951898466;
2905008;Caculé;BA;Bahia;8;184764,6378904398;4,3298328572720584;4,31601851198136366;4,39424570673060266;0;0;;;1,5314415252809421;
3112703;Capitão Enéas;MG;Norte de Minas;1;118253,7471564498;0,8456391649703913;0,87395932517850916;4,30283644619697991;0;0;;;0,2990985969503409;
3161106;São Francisco;MG;Norte de Minas;18;440307,4027744441;4,0880530026475270;4,08316284103203220;4,25940237933983390;0;0;;;1,4459251274074039;
2929107;São Felipe;BA;Bahia;10;167028,0531604325;5,9870182348320125;5,95491423379835449;4,25132636510280371;0;0;;;2,1175802022096040;
2903607;Biritinga;BA;Bahia;7;125656,2796904440;5,5707522276201367;5,53382359852555883;4,17981779335254355;0;0;;;1,9703488724975371;
2912103;Ibicaraí;BA;Bahia;7;174090,8686558467;4,0208886623674802;4,00924848199219053;4,05633143117293393;0;0;;;1,4221694160177112;
2909208;Coronel João Sá;BA;Bahia;7;132531,4192305809;5,2817664223615193;5,25041972911119004;4,04256678107205758;0;0;;;1,8681359518194329;
3170651;Vargem Grande do Rio Pardo;MG;Norte de Minas;2;38828,7639897756;5,1508206661603824;5,05256361368102525;4,04200011308545992;0;0;;;1,8218210534812833;
3137304;Lagoa dos Patos;MG;Norte de Minas;0;29503,9702938947;0,0000000000000000;0,15527216175317965;4,01324793565220883;0;0;;;0,0000000000000000;
3111150;Campo Azul;MG;Norte de Minas;1;30360,7424073505;3,2937270985767979;3,26879519250793127;4,00432376544791246;0;0;;;1,1649757895923980;
3126703;Francisco Sá;MG;Norte de Minas;1;199980,8781026164;0,5000478093144830;0,51983027523856651;3,99184829032732313;0;0;;;0,1768645592228338;
2933257;Vereda;BA;Bahia;2;49138,4203765432;4,0701349059945038;4,02823291424309016;3,97012800377573383;0;0;;;1,4395875808616174;
3120870;Curral de Dentro;MG;Norte de Minas;1;61266,1656892741;1,6322222694198578;1,66475500119932174;3,92700718543677896;0;0;;;0,5773093429414120;
3162401;São João da Ponte;MG;Norte de Minas;5;197025,9039169834;2,5377373739174640;2,54023529764461653;3,91027923039036995;0;0;;;0,8975857782009571;
2908705;Condeúba;BA;Bahia;5;138358,0624782235;3,6138118086085247;3,60418481270263280;3,76451421265295094;0;0;;;1,2781882466799290;
2903003;Barra do Mendes;BA;Bahia;4;111371,2014466006;3,5915927529235532;3,58000522506482977;3,75109930819285564;0;0;;;1,2703294711451310;
2910206;Dom Macedo Costa;BA;Bahia;2;34344,5893741813;5,8233335627052503;5,68088190250736780;3,73547016847771518;0;0;;;2,0596857032277538;
2901205;Anagé;BA;Bahia;7;188001,6817848543;3,7233709472932652;3,71527297837149595;3,70313160421251419;0;0;;;1,3169387989498693;
2914208;Irajuba;BA;Bahia;2;53842,5201335164;3,7145363832162501;3,68715605880780783;3,61836839556395340;0;0;;;1,3138140551707709;
2914604;Irecê;BA;Bahia;22;601080,9018458052;3,6600730338365732;3,65770441558789861;3,53134182036992339;0;0;;;1,2945506245499245;
3130051;Icaraí de Minas;MG;Norte de Minas;3;91462,8604771416;3,2800198729294716;3,27168956766636576;3,50631126439188767;0;0;;;1,1601276083242793;
2921401;Mirangaba;BA;Bahia;5;137653,9068176250;3,6322979242604458;3,62239487495885015;3,48104260540797394;0;0;;;1,2847266988751336;
2931509;Teofilândia;BA;Bahia;7;176469,0360714149;3,9667015561682923;3,95573812420030624;3,45576776385346474;0;0;;;1,4030036913110704;
2909505;Cravolândia;BA;Bahia;1;39285,2255767378;2,5454862109590017;2,55727051426665586;3,41338273737216102;0;0;;;0,9003265054320591;
2918803;Laje;BA;Bahia;6;181560,5142160370;3,3046833040253789;3,30021744185155264;3,35701179877561540;0;0;;;1,1688509479499050;
2929370;São José do Jacuípe;BA;Bahia;4;83618,8588225684;4,7836098893523928;4,74430424582133270;3,35341995344059418;0;0;;;1,6919403281341312;
2921302;Milagres;BA;Bahia;3;88882,0361300638;3,3752602107472072;3,36489023090090189;3,34248702345480364;0;0;;;1,1938136680461684;
3145372;Novorizonte;MG;Norte de Minas;2;39657,4054169171;5,0431942760098938;4,95136535503609210;3,33732690388646525;0;0;;;1,7837541052812571;
2903276;Barrocas;BA;Bahia;6;126350,6441042382;4,7486896822227918;4,72296674115962478;3,33544544655452935;0;0;;;1,6795892150467366;
2930766;Sítio do Quinto;BA;Bahia;6;97565,5290689401;6,1497129747130082;6,09233739199983404;3,33294080761405986;0;0;;;2,1751245668102079;
2920908;Mascote;BA;Bahia;4;110233,0663341678;3,6286752541874638;3,61640199755801239;3,31730495109195589;0;0;;;1,2834453775019912;
2930105;Senhor do Bonfim;BA;Bahia;20;623658,9511215901;3,2068809345287104;3,20584027639691671;3,20515341264839959;0;0;;;1,1342587096683481;
2924504;Pindaí;BA;Bahia;4;125026,0588135684;3,1993330334155128;3,19430023854164924;3,15858857743053401;0;0;;;1,1315890525304171;
2907905;Cipó;BA;Bahia;5;139622,3816273349;3,5810877466232207;3,57194382772363772;3,15320879882641369;0;0;;;1,2666138998050855;
2918357;João Dourado;BA;Bahia;7;203027,0920541728;3,4478157221166437;3,44261951504178354;3,08660059087205196;0;0;;;1,2194762113040518;
2901957;Apuarema;BA;Bahia;4;57406,7799052872;6,9678180984883973;6,84774489727500679;3,04348428455909303;0;0;;;2,4644845028387992;
2905156;Caetanos;BA;Bahia;3;104925,3986927185;2,8591742679822580;2,85866169045897500;3,03073079922326638;0;0;;;1,0112764964238075;
2912202;Ibicoara;BA;Bahia;4;164227,6788229842;2,4356430223381982;2,43968947928913993;3,00346064387110046;0;0;;;0,8614754860351697;
