code_muni;name_muni;uf;regiao;pop_central;casos_sinan;pessoa_ano;inc_sinan_bruta;inc_sinan_ebl;rme_sinan;examinados;positivos;posit_ebl;idhm;ivs;pct_agua_rede;pct_esgoto_adeq;cluster;p_lisa_aj;Gi_cluster;n_anos_AA;classe_persistencia;RR_anual;classe_tendencia
2923803;Paripiranga;BA;Bahia;26604,00000000001;19;225684,6892886634;8,4188254240401434;6,61134451818700253;2,9776989721005078;0;0;;0,577;;64,7144039735099;21,709437086092713;Não significativo;0,4142352941176471;Não significativo;0;Sem cluster relevante;9,45362121636884e-01;Estável
2900900;Almadina;BA;Bahia;5218,00000000000;5;42782,2183186966;11,6870985107728949;6,52440297357731946;4,1336717973735109;0;0;;0,563;;85,1707317073171;80,439024390243901;Não significativo;0,4984820359281438;Não significativo;0;Sem cluster relevante;2,90860427727498e-01;Decrescente
3136959;Juvenília;MG;Norte de Minas;5789,00000000000;3;46391,5818249812;6,4666904683654103;6,28384672053428073;2,2872380160726826;0;0;;0,592;;85,1851851851852;15,359477124183007;Não significativo;0,4390004065040651;Não significativo;0;Sem cluster relevante;;Não estimável
3127354;Glaucilândia;MG;Norte de Minas;2928,00000000000;0;24496,3323571373;0,0000000000000000;6,11038805979178523;0,0000000000000000;0;0;;0,679;;49,4912118408881;43,200740055504163;Não significativo;0,4248310810810811;Não significativo;0;Sem cluster relevante;;Não estimável
2913309;Ichu;BA;Bahia;6190,00000000000;5;50186,4958541603;9,9628394349941694;6,09863615044041563;3,5238094687260837;0;0;;0,631;;89,3695352047860;4,187758858720662;Não significativo;0,4384483333333333;Não significativo;0;Sem cluster relevante;2,85335223550792e-01;Decrescente
2903102;Barra do Rocha;BA;Bahia;5775,00000000000;4;46102,0505385194;8,6764036594378844;5,90285600355351114;3,0688031829788045;0;0;;0,577;;63,2414759458197;53,059318075665573;Não significativo;0,1492233333333333;Não significativo;0;Sem cluster relevante;;Não estimável
2922904;Nova Soure;BA;Bahia;24236,00000000001;14;204060,7162057768;6,8607031575260473;5,88453758536441640;2,4265984518120840;0;0;;0,555;;76,3203313772868;1,576343343688873;Não significativo;0,4479010600706714;Não significativo;0;Sem cluster relevante;6,88210351520122e-01;Estável
2917904;Jandaíra;BA;Bahia;9285,00000000000;7;80605,1697295776;8,6843065072430328;5,83405555529966779;3,0715983830929265;0;0;;0,550;;76,1858664085189;2,484672474991933;Não significativo;0,4910126168224299;Não significativo;0;Sem cluster relevante;1,51123650731242e+00;Estável
3116506;Claro dos Poções;MG;Norte de Minas;7166,00000000000;1;59000,3501024285;1,6949051967724502;5,55645075918975184;0,5994799996476408;0;0;;0,670;;75,6882373972113;33,571683947086164;Não significativo;0,4384483333333333;Não significativo;0;Sem cluster relevante;;Não estimável
2929503;São Sebastião do Passé;BA;Bahia;40958,00000000001;21;346221,3393690812;6,0654840161696217;5,50568837579266201;2,1453331801686044;0;0;;0,657;;75,8791644632470;56,643310417768376;Não significativo;0,3655862318840580;Não significativo;0;Sem cluster relevante;4,83905266458902e-01;Decrescente
3130655;Indaiabira;MG;Norte de Minas;6346,00000000000;4;54796,4786050721;7,2997391471607296;5,33350637680978412;2,5818834172559861;0;0;;0,610;;57,1362372567192;19,833178869323447;Não significativo;0,4772403030303030;Não significativo;0;Sem cluster relevante;;Não estimável
2916856;Itatim;BA;Bahia;15736,99999999999;8;122664,8307472544;6,5218367410326863;5,15166289050879467;2,3067429934496477;0;0;;0,582;;94,8754962107542;1,930710934680621;Não significativo;0,4984820359281438;Não significativo;0;Sem cluster relevante;1,19153886356009e+00;Estável
3129608;Ibiaí;MG;Norte de Minas;6286,00000000000;3;58642,9795852937;5,1157018644262893;5,10781544163361723;1,8093996984159555;0;0;;0,614;;75,8355916892502;52,574525745257446;Não significativo;0,4384483333333333;Não significativo;0;Sem cluster relevante;;Não estimável
