code_muni;name_muni;abbrev_state;casos_sinan;pessoa_ano;inc_sinan_bruta;cook
2928406;Santa Rita de Cássia;BA;0;226828,8280894417;0,0000000000000000;0,02456820109837559
3145455;Olhos-D'água;MG;0;46415,0821710609;0,0000000000000000;0,02420164018462221
2930808;Souto Soares;BA;14;137865,2325599307;10,1548445101371918;0,02407403173491980
2904050;Bonito;BA;11;132062,1624464386;8,3294107836991884;0,02391166488064393
2929909;Seabra;BA;2;367377,1679692772;0,5443996454802152;0,02253834070443969
2910800;Feira de Santana;BA;64;5040296,1338750646;1,2697666625154369;0,02222452006049105
3127339;Gameleiras;MG;0;39741,8731342072;0,0000000000000000;0,02175662442531300
2926400;Riacho de Santana;BA;1;268284,2871415897;0,3727389369889709;0,02129142264353818
2918803;Laje;BA;6;181560,5142160370;3,3046833040253789;0,02095438967104936
3139250;Mamonas;MG;0;50415,2973793885;0,0000000000000000;0,02049996913859744
3166956;Serranópolis de Minas;MG;0;37017,2355458195;0,0000000000000000;0,02019319419595648
2911105;Formosa do Rio Preto;BA;2;210406,1365526165;0,9505426185608696;0,01994463762592717
2902807;Barra da Estiva;BA;12;190144,7066941733;6,3109829395885688;0,01963037835010152
3138104;Lassance;MG;2;55151,0546959260;3,6264039029297832;0,01894915907369323
3135605;Jequitaí;MG;2;55797,9888751449;3,5843585769287358;0,01817735713642814
2923407;Palmas de Monte Alto;BA;1;168885,2989180527;0,5921178494554606;0,01809924999595508
3171030;Verdelândia;MG;0;68489,8445133936;0,0000000000000000;0,01748287982791237
2920502;Maracás;BA;1;197039,5551764584;0,5075123109694659;0,01747217068894514
2916203;Itapé;BA;8;76741,3035772453;10,4246339677400250;0,01736249481567799
2928059;Santa Luzia;BA;11;106904,4540750607;10,2895619225337267;0,01734044964691460
3164209;São Romão;MG;1;91581,3213791199;1,0919257168831316;0,01691970261775098
2904100;Boquira;BA;1;164517,8585363234;0,6078367472666883;0,01684949448651402
2925501;Prado;BA;3;258615,6634522467;1,1600225446336700;0,01650104811885623
3132107;Itacarambi;MG;0;142228,7947465408;0,0000000000000000;0,01600054932871749
2914653;Itabela;BA;1;238816,5349110010;0,4187314753447313;0,01547614775719898
2926202;Riachão das Neves;BA;0;177619,8627384249;0,0000000000000000;0,01526870954096714
2922003;Mucuri;BA;6;325022,8127272427;1,8460242681596524;0,01455775122346441
2919553;Luís Eduardo Magalhães;BA;12;810258,1771745482;1,4810094286052389;0,01438543860865085
3157609;Santa Fé de Minas;MG;0;29481,4702741575;0,0000000000000000;0,01400736916573144
2931608;Teolândia;BA;2;122773,7432930327;1,6290128054713284;0,01370343604723967
2929206;São Francisco do Conde;BA;2;320641,3223107732;0,6237499226820029;0,01350106373054504
2904753;Buritirama;BA;0;164811,0619156741;0,0000000000000000;0,01333578630305058
2930154;Serra do Ramalho;BA;0;267532,7078035528;0,0000000000000000;0,01311611623910114
2919926;Madre de Deus;BA;9;160752,5300429800;5,5986677146503974;0,01307205721552979
2900900;Almadina;BA;5;42782,2183186966;11,6870985107728949;0,01288151868720824
2926905;Rio do Pires;BA;0;89361,9151480466;0,0000000000000000;0,01284303108551897
3115474;Catuti;MG;0;39006,8858955344;0,0000000000000000;0,01253518006858275
3130051;Icaraí de Minas;MG;3;91462,8604771416;3,2800198729294716;0,01222560897975060
3129657;Ibiracatu;MG;0;42526,9177097092;0,0000000000000000;0,01215814760033356
3112703;Capitão Enéas;MG;1;118253,7471564498;0,8456391649703913;0,01203001924985330
2910701;Euclides da Cunha;BA;1;496150,5406918459;0,2015517303690877;0,01202632886433364
2930709;Simões Filho;BA;20;1012995,2667146152;1,9743428875896687;0,01196705243155919
3156502;Rubelita;MG;6;45936,2455946385;13,0615811595632376;0,01194930280529017
2917003;Itiúba;BA;0;283933,0514535844;0,0000000000000000;0,01191264400001781
2912707;Ibirapitanga;BA;1;198668,9166313567;0,5033500040952887;0,01161814946756767
3160454;Santo Antônio do Retiro;MG;1;55932,7570251992;1,7878610910409327;0,01144711776824600
2922201;Muniz Ferreira;BA;1;59129,4063455149;1,6912058852014025;0,01101688535745433
3162252;São João da Lagoa;MG;5;39311,5808252448;12,7188983374312379;0,01099612107317765
3130655;Indaiabira;MG;4;54796,4786050721;7,2997391471607296;0,01095655219848346
2924207;Pedro Alexandre;BA;1;124121,0124645838;0,8056653584624410;0,01063567151049647
2931350;Teixeira de Freitas;BA;6;1247164,8316265740;0,4810911795977037;0,01060881140798543
2906808;Cansanção;BA;0;294631,9453654473;0,0000000000000000;0,01059273727863933
2903607;Biritinga;BA;7;125656,2796904440;5,5707522276201367;0,01030225920198065
2903508;Belo Campo;BA;4;143902,3505628366;2,7796627256990871;0,01017669086887084
2930766;Sítio do Quinto;BA;6;97565,5290689401;6,1497129747130082;0,01007253612252431
2928604;Santo Amaro;BA;3;469924,9034614571;0,6383998757891021;0,01001815914094995
2933604;Xique-Xique;BA;0;370617,5428829031;0,0000000000000000;0,00995084735002361
3108503;Botumirim;MG;0;48468,4440931024;0,0000000000000000;0,00993535516289399
2917201;Ituaçu;BA;3;149090,1978177261;2,0122047216462366;0,00993472293788370
2909406;Cotegipe;BA;0;108366,9238653025;0,0000000000000000;0,00983995008290830
2916856;Itatim;BA;8;122664,8307472544;6,5218367410326863;0,00953282101185820
2900702;Alagoinhas;BA;3;1236475,4613881628;0,2426251141799424;0,00930326490615568
2933208;Vera Cruz;BA;0;350264,3620114889;0,0000000000000000;0,00925049294337550
2928109;Santa Maria da Vitória;BA;0;318316,5248927802;0,0000000000000000;0,00921664489267769
2911600;Governador Mangabeira;BA;1;167191,5018550330;0,5981165244074855;0,00891660387274499
2920452;Mansidão;BA;0;111888,6899395684;0,0000000000000000;0,00873817615179824
3143450;Montezuma;MG;0;60874,3507051065;0,0000000000000000;0,00867893204451308
2922607;Nilo Peçanha;BA;3;105265,2129648928;2,8499443600617944;0,00848233383284564
2919504;Livramento de Nossa Senhora;BA;1;365142,7350916514;0,2738655062516849;0,00833738796148988
2910503;Entre Rios;BA;1;324228,5677842164;0,3084243954300564;0,00828067164158739
2930303;Serra Dourada;BA;0;138961,0934989683;0,0000000000000000;0,00801890537727228
2900355;Adustina;BA;6;125800,4165910702;4,7694595634796197;0,00799113848685811
2932002;Uauá;BA;2;197434,9953093808;1,0129916415608078;0,00796233976548835
